subcategory_id,subcategory_name
subcat1,radio & podcasts
subcat2,metal
subcat3,nonfiction
subcat4,shorts
subcat5,electric music
subcat6,rock
subcat7,web
subcat8,world music
subcat9,mobile games
subcat10,drama
subcat11,audio
subcat12,science fiction
subcat13,indie rock
subcat14,video games
subcat15,food trucks
subcat16,fiction
subcat17,plays
subcat18,wearables
subcat19,documentary
subcat20,animation
subcat21,jazz
subcat22,photography books
subcat23,television
subcat24,translations
